@relation tarea-feelings-subjetivity

@attribute existFeelAdjetive {yes,no}
@attribute feelAdjetivePositive {yes,no}
@attribute existNegation {yes,no}
@attribute existNever {yes,no}
@attribute isSubjetive {low,middle,high,extreme}
@attribute feeling {Positive,Negative,Neutral}

@data
no,no,no,yes,low,Neutral
yes,yes,no,no,middle,Positive
yes,yes,yes,no,extreme,Positive
no,no,no,no,low,Neutral
no,no,yes,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,high,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
yes,no,yes,no,extreme,Negative
no,no,no,no,low,Neutral
yes,yes,no,no,middle,Positive
no,no,no,no,middle,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,middle,Neutral
yes,yes,yes,no,high,Negative
no,no,no,no,high,Negative
yes,yes,yes,no,extreme,Positive
no,no,no,no,low,Neutral
no,no,no,no,extreme,Positive
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,high,Neutral
no,no,no,no,low,Neutral
yes,yes,no,no,high,Positive
yes,yes,no,no,high,Positive
no,no,no,no,low,Neutral
yes,no,no,no,middle,Positive
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
yes,yes,no,no,middle,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
yes,no,no,no,high,Negative
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,yes,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Positive
no,no,no,no,low,Neutral
no,no,yes,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,high,Neutral
no,no,no,no,high,Positive
no,no,no,no,middle,Neutral
yes,yes,no,no,middle,Positive
yes,yes,no,no,high,Negative
no,no,no,no,low,Neutral
yes,yes,yes,no,high,Positive
no,no,yes,no,low,Neutral
yes,no,no,no,middle,Negative
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,high,Neutral
yes,yes,no,no,high,Positive
yes,no,yes,no,extreme,Negative
yes,no,no,no,middle,Negative
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,middle,Neutral
no,no,no,no,low,Neutral
yes,yes,no,no,middle,Positive
yes,no,no,no,extreme,Negative
no,no,no,no,middle,Positive
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
yes,no,yes,no,high,Negative
no,no,no,no,high,Neutral
yes,yes,no,no,middle,Positive
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Positive
no,no,no,no,middle,Negative
no,no,no,no,low,Neutral
yes,yes,no,no,high,Negative
no,no,no,no,high,Negative
yes,yes,no,no,extreme,Positive
no,no,no,no,low,Negative
yes,no,no,no,middle,Negative
no,no,yes,no,middle,Negative
no,no,no,no,low,Neutral
yes,yes,yes,no,high,Negative
yes,yes,no,no,high,Positive
no,no,no,no,low,Neutral
yes,yes,no,no,extreme,Positive
no,no,no,no,middle,Positive
no,no,no,no,low,Neutral
yes,yes,no,no,middle,Positive
no,no,no,no,low,Neutral
yes,no,no,no,high,Negative
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
yes,yes,no,no,middle,Positive
no,no,no,no,low,Neutral
yes,yes,no,no,extreme,Positive
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,yes,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,high,Neutral
no,no,no,no,low,Neutral
yes,yes,no,no,extreme,Negative
no,no,no,no,low,Neutral
no,no,no,no,low,Negative
yes,no,no,no,middle,Negative
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
no,no,no,no,low,Neutral
yes,no,no,no,high,Positive
no,no,no,no,extreme,Positive
no,no,no,no,low,Neutral
